-1.003687,1.014453,9.374121,-1.021118286,1.027099571,9.360790714
-1.024023,0.997705,9.368139,,,
-1.026416,1.043164,9.382495,,,
-1.033594,1.03479,9.370532,,,
-1.013257,1.02522,9.350195,,,
-1.030005,1.031201,9.346606,,,
-1.016846,1.043164,9.333447,,,
-7.035376,-6.849951,-0.726147,-7.02849725,-6.83798825,-0.716577
-7.036572,-6.839185,-0.710596,,,
-7.022217,-6.826025,-0.736914,,,
-7.019824,-6.836792,-0.692651,,,
-1.239355,-1.09939,-10.221094,-1.2450976,-1.1070458,-10.2064992
-1.220215,-1.131689,-10.216309,,,
-1.259692,-1.110156,-10.192383,,,
-1.262085,-1.104175,-10.230664,,,
-1.244141,-1.089819,-10.172046,,,
-1.727441,9.450684,1.873389,,,
-1.751367,9.431543,1.808789,,,
-1.725049,9.435132,1.84707,,,
-1.742993,9.437525,1.833911,,,
9.779663,-0.092114,-0.086133,,,
9.80957,-0.099292,-0.149536,,,
9.768896,-0.094507,-0.096899,,,
9.795215,-0.078955,-0.137573,,,
-9.394458,0.965405,2.373437,-9.387041,0.9888524,2.3576462
-9.404028,0.972583,2.410522,,,
-9.351392,0.965405,2.383008,,,
-9.405225,1.001294,2.310034,,,
-9.380102,1.039575,2.31123,,,
-4.200171,-6.646582,5.5448,-4.2779298,-6.5748046,5.487378
-4.305444,-6.523364,5.486182,,,
-4.291089,-6.597534,5.467041,,,
-4.252808,-6.577197,5.475415,,,
-4.340137,-6.529346,5.463452,,,
9.413599,-2.290894,0.84458,9.4152734,-2.2789306,0.8106056
9.405225,-2.265771,0.794336,,,
9.432739,-2.298071,0.797925,,,
9.420776,-2.271753,0.823047,,,
9.404028,-2.268164,0.79314,,,
-1.2450976,,,,,
